,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,source,title,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
1,Indoor-0-20260423-08:34:37-21372,HospitalNet.host[0].wlan[0].mac,packetDropRetryLimitReached:vector(packetBytes),[],[],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Indoor,20260423-08:34:37,20260423-083437,Indoor,omnetpp.ini,,,,,HospitalNet,21372,0,#0,results,0,0,,"HospitalNet.host[0].wlan[0].mac, configname=Indoor"
5,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[0].wlan[0].mac,packetDropRetryLimitReached:vector(packetBytes),[168.38926815],[120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[0].wlan[0].mac, configname=Outdoor"
0,Indoor-0-20260423-08:34:37-21372,HospitalNet.host[0].wlan[0].mac.dcf,packetDropRetryLimitReached:vector(packetBytes),[],[],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Indoor,20260423-08:34:37,20260423-083437,Indoor,omnetpp.ini,,,,,HospitalNet,21372,0,#0,results,0,0,,"HospitalNet.host[0].wlan[0].mac.dcf, configname=Indoor"
4,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[0].wlan[0].mac.dcf,packetDropRetryLimitReached:vector(packetBytes),[168.38926815],[120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[0].wlan[0].mac.dcf, configname=Outdoor"
3,Indoor-0-20260423-08:34:37-21372,HospitalNet.host[1].wlan[0].mac,packetDropRetryLimitReached:vector(packetBytes),[ 32.031829  33.031369  34.070109  35.052029  36.070489  37.066849  38.077149  39.073529  45.030109  46.039049  47.079469  48.055989  49.069569  50.061329  51.035189  52.042549  80.040869  81.027629  82.057989  83.046169  84.077009  85.062729  86.090049  87.032389  93.029069  94.017909  95.101829  96.056329  97.062509  98.059249  99.057509 100.032349 128.026869 129.014229 130.074729 131.030029 132.083009 133.074929 134.065689 135.073389 141.043429 142.027649 143.101449 144.045669 145.067429 146.072289 147.087429 148.093609 176.037509 177.028869 178.063149 179.076769 180.062129 181.038049 182.054849 183.049009 189.030609 190.043069 191.065429 192.036389 193.060009 194.055529 195.046589 196.062229 224.019109 225.035829 226.073729 227.050469 228.073089 229.068409 230.095529 231.074469 237.022129 238.030729 239.057349 240.070189 241.056529 242.059109 243.063529 244.047169],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Indoor,20260423-08:34:37,20260423-083437,Indoor,omnetpp.ini,,,,,HospitalNet,21372,0,#0,results,0,0,,"HospitalNet.host[1].wlan[0].mac, configname=Indoor"
7,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[1].wlan[0].mac,packetDropRetryLimitReached:vector(packetBytes),[  7.21642301   8.22814301  10.23634301  11.22584301  13.20994301  14.22400301  15.27526301  20.22164301  21.22118301  22.26946301  23.27660301  24.25324301  25.24436301  26.24252301  27.24800301  28.24636301  29.27496301  30.26310301  31.25382301  32.24248301  33.26090301  34.28544301  35.27316301  37.22404301  38.21302301  39.25450301  40.25376301  41.23192301  42.25690301  43.26658301  44.26492301  45.26694301  46.24720301  47.23728301  48.25864301  49.24804301  50.29502301  51.27710301  52.25498301  53.25324301  54.26108301  55.26246301  56.24244301  57.25732301  58.26136301  59.25526301  60.25748301  61.24762301  62.26216301  63.23520301  64.24928301  65.28674301  66.26420301  67.26578301  68.24588301  69.25010301  70.26706301  71.23538301  72.24612301  73.23478301  74.26448301  75.26438301  77.22886301  78.22000301  79.22638301  80.25048301  81.26638301  82.26438301  83.26172301  85.22076301  86.22764301  87.24622301  93.23662301  94.24550301  96.22246301  97.21822301  98.24018301  99.24966301 100.27054301 101.22856301 102.25434301 103.25246301 104.24368301 105.26406301 106.25820301 107.25254301 108.26992301 109.29022301 110.27220301 111.26178301 112.26764301 113.25558301 114.25626301 115.26094301 116.27198301 117.26534301 118.27520301 119.26854301 120.24604301 121.27540301 122.25246301 123.27836301 124.25350301 125.24856301 126.26222301 159.21356301 160.22300301 165.23334301 166.22480301 168.23042301 169.22172301 172.23394301 173.21530301 175.22264301 176.21782301 184.23006301 185.21706301 186.26852301 187.24738301 188.27494301 189.23476301 190.26410301 191.24918301 192.22936301 193.25654301 194.23390301 195.21888301 196.27196301 197.25584301 198.22618301 199.27124301 200.26090301 201.28292301 202.25602301 203.26848301 204.26432301 205.22730301 206.24096301 207.28430301 208.26564301 209.25714301 210.27050301 211.25906301 212.27414301 213.28822301 214.28292301 215.27258301 216.25486301 217.25402301 218.27466301 219.24074301 220.24428301 221.24264301 222.24146301 223.25136301 224.25374301 225.28596301 226.27530301 227.28736301 228.26738301 229.26452301 230.23700301 231.26482301 232.25070301 233.24244301 234.25674301 235.25984301 236.27576301 237.25518301 238.25878301 239.25570301 240.24730301 241.27082301 242.23860301 243.29138301 244.29394301 245.27946301 247.23796301 248.21628301 255.23782301 256.23878301 258.21686301 259.22946301],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[1].wlan[0].mac, configname=Outdoor"
2,Indoor-0-20260423-08:34:37-21372,HospitalNet.host[1].wlan[0].mac.dcf,packetDropRetryLimitReached:vector(packetBytes),[ 32.031829  33.031369  34.070109  35.052029  36.070489  37.066849  38.077149  39.073529  45.030109  46.039049  47.079469  48.055989  49.069569  50.061329  51.035189  52.042549  80.040869  81.027629  82.057989  83.046169  84.077009  85.062729  86.090049  87.032389  93.029069  94.017909  95.101829  96.056329  97.062509  98.059249  99.057509 100.032349 128.026869 129.014229 130.074729 131.030029 132.083009 133.074929 134.065689 135.073389 141.043429 142.027649 143.101449 144.045669 145.067429 146.072289 147.087429 148.093609 176.037509 177.028869 178.063149 179.076769 180.062129 181.038049 182.054849 183.049009 189.030609 190.043069 191.065429 192.036389 193.060009 194.055529 195.046589 196.062229 224.019109 225.035829 226.073729 227.050469 228.073089 229.068409 230.095529 231.074469 237.022129 238.030729 239.057349 240.070189 241.056529 242.059109 243.063529 244.047169],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Indoor,20260423-08:34:37,20260423-083437,Indoor,omnetpp.ini,,,,,HospitalNet,21372,0,#0,results,0,0,,"HospitalNet.host[1].wlan[0].mac.dcf, configname=Indoor"
6,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[1].wlan[0].mac.dcf,packetDropRetryLimitReached:vector(packetBytes),[  7.21642301   8.22814301  10.23634301  11.22584301  13.20994301  14.22400301  15.27526301  20.22164301  21.22118301  22.26946301  23.27660301  24.25324301  25.24436301  26.24252301  27.24800301  28.24636301  29.27496301  30.26310301  31.25382301  32.24248301  33.26090301  34.28544301  35.27316301  37.22404301  38.21302301  39.25450301  40.25376301  41.23192301  42.25690301  43.26658301  44.26492301  45.26694301  46.24720301  47.23728301  48.25864301  49.24804301  50.29502301  51.27710301  52.25498301  53.25324301  54.26108301  55.26246301  56.24244301  57.25732301  58.26136301  59.25526301  60.25748301  61.24762301  62.26216301  63.23520301  64.24928301  65.28674301  66.26420301  67.26578301  68.24588301  69.25010301  70.26706301  71.23538301  72.24612301  73.23478301  74.26448301  75.26438301  77.22886301  78.22000301  79.22638301  80.25048301  81.26638301  82.26438301  83.26172301  85.22076301  86.22764301  87.24622301  93.23662301  94.24550301  96.22246301  97.21822301  98.24018301  99.24966301 100.27054301 101.22856301 102.25434301 103.25246301 104.24368301 105.26406301 106.25820301 107.25254301 108.26992301 109.29022301 110.27220301 111.26178301 112.26764301 113.25558301 114.25626301 115.26094301 116.27198301 117.26534301 118.27520301 119.26854301 120.24604301 121.27540301 122.25246301 123.27836301 124.25350301 125.24856301 126.26222301 159.21356301 160.22300301 165.23334301 166.22480301 168.23042301 169.22172301 172.23394301 173.21530301 175.22264301 176.21782301 184.23006301 185.21706301 186.26852301 187.24738301 188.27494301 189.23476301 190.26410301 191.24918301 192.22936301 193.25654301 194.23390301 195.21888301 196.27196301 197.25584301 198.22618301 199.27124301 200.26090301 201.28292301 202.25602301 203.26848301 204.26432301 205.22730301 206.24096301 207.28430301 208.26564301 209.25714301 210.27050301 211.25906301 212.27414301 213.28822301 214.28292301 215.27258301 216.25486301 217.25402301 218.27466301 219.24074301 220.24428301 221.24264301 222.24146301 223.25136301 224.25374301 225.28596301 226.27530301 227.28736301 228.26738301 229.26452301 230.23700301 231.26482301 232.25070301 233.24244301 234.25674301 235.25984301 236.27576301 237.25518301 238.25878301 239.25570301 240.24730301 241.27082301 242.23860301 243.29138301 244.29394301 245.27946301 247.23796301 248.21628301 255.23782301 256.23878301 258.21686301 259.22946301],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[1].wlan[0].mac.dcf, configname=Outdoor"
9,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[2].wlan[0].mac,packetDropRetryLimitReached:vector(packetBytes),[ 48.41080747  49.41714747  50.40924747  51.45652747  52.43872747  53.44364747  54.44630747  55.43036747  56.42000747  57.41698747  58.43680747  59.42690747  60.44526747  61.44326747  62.42656747  63.43980747  64.44314747  65.46870747  66.40748747  67.43998747  68.44224747  69.45070747  70.43560747  71.42164747  72.43898747  73.42064747  74.43488747  75.42878747  76.42994747  77.42436747  78.44002747  79.44430747  80.41342747  81.45280747  82.44594747  83.43756747  84.44076747  85.42218747  86.42482747  87.42798747  88.43140747  89.44222747  90.44670747  91.44622747  92.42492747  93.43786747  94.43976747  95.44134747  96.44430747  97.45524747  98.42840747  99.41380747 100.42258747 101.45454747 102.43008747 103.46724747 107.40806747 108.39236747 109.42492747 110.41922747 113.39822747 114.39398747 115.45302747 116.45622747 117.42040747 118.41942747 119.41892747 120.41236747 121.43508747 122.41904747 123.43580747 124.42228747 125.42740747 126.42164747 127.42284747 128.41996747 129.42882747 130.42082747 131.43504747 132.44368747 133.41068747 134.43092747 135.44014747 136.44956747 137.44368747 138.45148747 139.43256747 140.40918747 141.43434747 142.40362747 143.42748747 144.41934747 145.43522747 146.41992747 147.42740747 148.41880747 149.43860747 150.42606747 151.45036747 152.43386747 153.43448747 154.42682747 155.44648747 163.41158747 164.40640747 165.43172747 166.43584747 168.39522747 169.39862747 170.44286747 171.42518747 172.43426747 173.41586747 174.44088747 175.41052747 176.42880747 177.44978747 178.41266747 179.44674747 180.44038747 181.42974747 182.43144747 183.44798747 184.42774747 185.43318747 186.44414747 187.42628747 188.42914747 189.43208747 190.43778747 191.45292747 192.41288747 193.46318747 194.43352747 195.42918747 196.42098747 197.44928747 198.40028747 199.42452747 200.42070747 201.41552747 202.44824747 203.42870747 204.41230747 205.43918747 206.42532747 207.42644747 208.44638747 209.43760747 210.44398747 211.44572747 212.43260747 213.42794747 214.41356747 215.44054747 216.42312747 217.44712747 218.42498747 222.40600747 223.39132747 224.41988747 225.43426747 226.43770747 227.43624747 228.41932747 229.41292747 230.43912747 231.43036747 232.41984747 233.46836747 234.44298747 235.43702747 236.41892747 237.41292747 238.41628747 239.44370747 240.45014747 241.44520747 242.41906747 243.45318747 244.42228747 245.42404747 246.44608747 247.43786747 248.43134747 249.43108747 250.45882747 251.43530747 252.43166747 253.44408747 254.46412747 255.44010747 256.42578747 257.44392747 258.43614747 259.43680747],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[2].wlan[0].mac, configname=Outdoor"
8,Outdoor-0-20260423-08:30:54-19164,HospitalNet.host[2].wlan[0].mac.dcf,packetDropRetryLimitReached:vector(packetBytes),[ 48.41080747  49.41714747  50.40924747  51.45652747  52.43872747  53.44364747  54.44630747  55.43036747  56.42000747  57.41698747  58.43680747  59.42690747  60.44526747  61.44326747  62.42656747  63.43980747  64.44314747  65.46870747  66.40748747  67.43998747  68.44224747  69.45070747  70.43560747  71.42164747  72.43898747  73.42064747  74.43488747  75.42878747  76.42994747  77.42436747  78.44002747  79.44430747  80.41342747  81.45280747  82.44594747  83.43756747  84.44076747  85.42218747  86.42482747  87.42798747  88.43140747  89.44222747  90.44670747  91.44622747  92.42492747  93.43786747  94.43976747  95.44134747  96.44430747  97.45524747  98.42840747  99.41380747 100.42258747 101.45454747 102.43008747 103.46724747 107.40806747 108.39236747 109.42492747 110.41922747 113.39822747 114.39398747 115.45302747 116.45622747 117.42040747 118.41942747 119.41892747 120.41236747 121.43508747 122.41904747 123.43580747 124.42228747 125.42740747 126.42164747 127.42284747 128.41996747 129.42882747 130.42082747 131.43504747 132.44368747 133.41068747 134.43092747 135.44014747 136.44956747 137.44368747 138.45148747 139.43256747 140.40918747 141.43434747 142.40362747 143.42748747 144.41934747 145.43522747 146.41992747 147.42740747 148.41880747 149.43860747 150.42606747 151.45036747 152.43386747 153.43448747 154.42682747 155.44648747 163.41158747 164.40640747 165.43172747 166.43584747 168.39522747 169.39862747 170.44286747 171.42518747 172.43426747 173.41586747 174.44088747 175.41052747 176.42880747 177.44978747 178.41266747 179.44674747 180.44038747 181.42974747 182.43144747 183.44798747 184.42774747 185.43318747 186.44414747 187.42628747 188.42914747 189.43208747 190.43778747 191.45292747 192.41288747 193.46318747 194.43352747 195.42918747 196.42098747 197.44928747 198.40028747 199.42452747 200.42070747 201.41552747 202.44824747 203.42870747 204.41230747 205.43918747 206.42532747 207.42644747 208.44638747 209.43760747 210.44398747 211.44572747 212.43260747 213.42794747 214.41356747 215.44054747 216.42312747 217.44712747 218.42498747 222.40600747 223.39132747 224.41988747 225.43426747 226.43770747 227.43624747 228.41932747 229.41292747 230.43912747 231.43036747 232.41984747 233.46836747 234.44298747 235.43702747 236.41892747 237.41292747 238.41628747 239.44370747 240.45014747 241.44520747 242.41906747 243.45318747 244.42228747 245.42404747 246.44608747 247.43786747 248.43134747 249.43108747 250.45882747 251.43530747 252.43166747 253.44408747 254.46412747 255.44010747 256.42578747 257.44392747 258.43614747 259.43680747],[120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120. 120.],none,vector(packetBytes),packetDropReasonIsRetryLimitReached(packetDropped),"packet drops: retry limit reached, packetBytes",Outdoor,20260423-08:30:54,20260423-083054,Outdoor,omnetpp.ini,,,,,HospitalNet,19164,0,#0,results,0,0,,"HospitalNet.host[2].wlan[0].mac.dcf, configname=Outdoor"
